NTA,Date,NTA_count,Jobs,Savings,SumJobs,MeanSavings
SoHo-TriBeCa-Civic Center-Little Italy,04/02/2008,5.0,,4423698.05,0.0,990867.5859999999
Battery Park City-Lower Manhattan,01/05/2015,9.0,,1814542.62,0.0,3798151.2388888896
Sunset Park West,02/03/2020,48.0,,6755.31,0.0,139256.485
Battery Park City-Lower Manhattan,06/30/2017,9.0,,3293055.08,0.0,3798151.2388888896
Battery Park City-Lower Manhattan,07/02/2015,9.0,,2090906.36,0.0,3798151.2388888896
Hunters Point-Sunnyside-West Maspeth,04/07/2008,75.0,,129401.39,0.0,160609.31960000002
College Point,03/04/2011,7.0,,28752.48,2.0,574250.8085714286
Carroll Gardens-Columbia Street-Red Hook,11/06/2015,11.0,,187637.74,0.0,184683.94545454546
Battery Park City-Lower Manhattan,03/04/2008,9.0,,3481992.69,0.0,3798151.2388888896
Battery Park City-Lower Manhattan,12/02/2019,9.0,,221193.9,0.0,3798151.2388888896
Hunters Point-Sunnyside-West Maspeth,01/07/2009,75.0,,288983.01,0.0,160609.31960000002
Steinway,04/09/2008,7.0,,184923.14,20.0,255769.45285714284
Hunters Point-Sunnyside-West Maspeth,06/07/2010,75.0,,56744.11,0.0,160609.31960000002
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,08/04/2017,10.0,,10657.15,0.0,437390.5
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,07/06/2017,10.0,,30061.25,0.0,437390.5
Steinway,07/06/2015,7.0,,20691.63,20.0,255769.45285714284
Sunset Park West,04/02/2020,48.0,,16944.18,0.0,139256.485
Sunset Park West,04/03/2019,48.0,,16571.14,0.0,139256.485
Hunts Point,03/06/2018,13.0,,71277.45,12.0,397635.44923076924
Sunset Park West,05/01/2020,48.0,,8412.79,0.0,139256.485
Bushwick South,03/12/2009,10.0,,128478.96,10.0,307800.03099999996
Manhattanville,12/09/2011,9.0,,18387.23,0.0,22030.588888888888
Manhattanville,11/07/2011,9.0,,13929.45,0.0,22030.588888888888
Crown Heights North,01/21/2016,9.0,,12030.29,0.0,17168.966666666667
Hunters Point-Sunnyside-West Maspeth,05/15/2015,75.0,,118916.37,0.0,160609.31960000002
Sunset Park West,07/03/2014,48.0,,14654.07,0.0,139256.485
Bushwick South,12/05/2017,10.0,,4103.81,10.0,307800.03099999996
Sunset Park West,02/21/2020,48.0,,6121.13,0.0,139256.485
Hunters Point-Sunnyside-West Maspeth,06/07/2011,75.0,,78631.89,0.0,160609.31960000002
Queensbridge-Ravenswood-Long Island City,06/04/2019,16.0,,12463.99,0.0,447198.665
Hunters Point-Sunnyside-West Maspeth,03/10/2015,75.0,,39891.42,0.0,160609.31960000002
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,08/02/2012,10.0,,331784.18,0.0,437390.5
Hunters Point-Sunnyside-West Maspeth,01/07/2013,75.0,,219841.25,0.0,160609.31960000002
Hunts Point,07/06/2009,13.0,,861679.67,12.0,397635.44923076924
Springfield Gardens South-Brookville,06/16/2015,5.0,,26925.2,0.0,362028.862
Sunset Park West,10/14/2010,48.0,,23570.39,0.0,139256.485
Mott Haven-Port Morris,12/03/2007,14.0,,96501.05,10.0,159905.58428571429
Maspeth,10/28/2016,9.0,,41763.52,10.0,20783.175555555554
park-cemetery-etc-Brooklyn,05/20/2019,15.0,,7810.11,0.0,36740.328
Hunters Point-Sunnyside-West Maspeth,01/02/2015,75.0,,6519.95,0.0,160609.31960000002
Hunters Point-Sunnyside-West Maspeth,12/06/2007,75.0,,317144.12,0.0,160609.31960000002
Hunts Point,12/04/2019,13.0,,10434.16,12.0,397635.44923076924
Hunts Point,12/03/2008,13.0,,1776963.94,12.0,397635.44923076924
